name,url,price_rate,price_rate_type,total_price,room_and_property_type,location_title,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity,summary,amenities,review_count,review_score,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,star_rating,satisfaction_guest,description,neighborhood_overview,notes,additional_house_rules,interaction,access,transit,response_rate,response_time,instant_book_possible
Cosy and tidy home away from home,https://www.airbnb.com/rooms/26347859,2401.0,monthly,12120.0,Entire apartment,"Espoo, Finland",1,,60.22873,24.6667,0.0,0.0,entire_home,4,"This home is 20 min away from the airport. Helsinki is 19 km away while Espoon Keskus is 2 km away. From Espoon keskus, there is a wide range of amenities in Entresse and Espoontori shopping malls, a train station and numerous buses. This home is a few min walk from the famous Oittaa beach and Angry Birds park. There is a lot of nature around this home making it great family holiday spot. You can walk to Shell and Neste, Ikea, McDonald's, Motonet, Gigantti as well as Jorvi and Espoo hospitals.","Elevator,Wifi,Kitchen,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Heating,Essentials,Free street parking,Microwave,Refrigerator,Oven,Stove,Host greets you",1,100,10,10,10,10,10,10,,100,"This home is 20 min away from the airport. Helsinki is 19 km away while Espoon Keskus is 2 km away. From Espoon keskus, there is a wide range of amenities in Entresse and Espoontori shopping malls, a train station and numerous buses. This home is a few min walk from the famous Oittaa beach and Angry Birds park. There is a lot of nature around this home making it great family holiday spot. You can walk to Shell and Neste, Ikea, McDonald's, Motonet, Gigantti as well as Jorvi and Espoo hospitals.

It's a new house, built in 2013 so everything works pretty well and it's well accessible to the core places by public and private transport.

If you need help, feel free to contact me. If I am available, I would not mind showing you around.

The neighborhood is safe and there is lots of nature. Lovers of photography and adventure will find this place exciting.

There bus to Espoo leaves from a stop located a minute away. From the airport, there is a direct bus to Ikea and from Ikea to my house is a 20 min walking distance. To access the direct bus that goes to Helsinki, you have to walk for 10 min to the stop.

Make yourself at home in this cosy haven.",The neighborhood is safe and there is lots of nature. Lovers of photography and adventure will find this place exciting.,Make yourself at home in this cosy haven.,"Quiet time between 10 pm and 8 am. 
A cleaning charge of 15 euro is payable per stay.
The host will make separate arrangements if you need closet space. Otherwise, no access to the closets or any other personal belongings.","If you need help, feel free to contact me. If I am available, I would not mind showing you around.",,"There bus to Espoo leaves from a stop located a minute away. From the airport, there is a direct bus to Ikea and from Ikea to my house is a 20 min walking distance. To access the direct bus that goes to Helsinki, you have to walk for 10 min to the stop.",,,
Haave Apartments,https://www.airbnb.com/rooms/34451929,3238.0,monthly,16349.0,Entire apartment,"Helsinki, Finland",1,,60.27341,25.2357,0.51,0.0,entire_home,4,"Kaikissa majoitusyksiköissä on parveke ja keittotila, jossa on astianpesukone. Omassa kylpyhuoneessa on suihku. Varustukseen kuuluu myös uuni, mikroaaltouuni, jääkaappi ja kahvinkeitin.","Free parking on premises,Wifi,Kitchen,TV,Washer,Hangers,Heating,Essentials,Carbon monoxide alarm,Smoke alarm",1,20,2,2,2,2,4,4,,20,"Kaikissa majoitusyksiköissä on parveke ja keittotila, jossa on astianpesukone. Omassa kylpyhuoneessa on suihku. Varustukseen kuuluu myös uuni, mikroaaltouuni, jääkaappi ja kahvinkeitin.

Haave Apartments Tampere sijaitsee hyvällä paikalla Tampereella, lyhyen matkan päässä Tampere-talosta ja kaupungin linja-autoasemasta. Majoituspaikassa on baari ja ilmainen WiFi, ja sieltä on kaupunkinäkymä.

ampereen yliopisto on 43 minuutin kävelymatkan päässä huoneistohotellista. Lähin lentokenttä on Tampere-Pirkkalan lentoasema, joka sijaitsee 37 km:n päässä Haave Apartments Tampereesta.",,,,,,"ampereen yliopisto on 43 minuutin kävelymatkan päässä huoneistohotellista. Lähin lentokenttä on Tampere-Pirkkalan lentoasema, joka sijaitsee 37 km:n päässä Haave Apartments Tampereesta.",,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28507663,3920.0,monthly,20562.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",5,88,9,10,10,10,9,8,4.5,88,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
Beautiful Scandinavian house for your safety stay,https://www.airbnb.com/rooms/43051647,3934.0,monthly,19862.0,Entire apartment,"Vantaa, Finland",1,,60.31457,25.03952,0.8,0.9,entire_home,10,"A beautiful Scandinavian house with own garden and terrace located just 2 stops by train (5 minutes) to Helsinki Vantaa  aiport and direct buses and trains to Helsinki center. An apartment is a big and modern, brightly place and suitable for big families or a big group of workers, researchers up to 10 persons.","Free parking on premises,Wifi,Kitchen,Indoor fireplace,Air conditioning,Dryer,Hair dryer,Shampoo,Hangers,Heating,Essentials,Laptop-friendly workspace,Private entrance,Fire extinguisher,Carbon monoxide alarm,Smoke alarm,First aid kit",0,,,,,,,,,,"A beautiful Scandinavian house with own garden and terrace located just 2 stops by train (5 minutes) to Helsinki Vantaa  aiport and direct buses and trains to Helsinki center. An apartment is a big and modern, brightly place and suitable for big families or a big group of workers, researchers up to 10 persons.

Super security, clean and high modern house with fully furniture will make you feel like home and relax during your stay.

You can stay as minimum 1 day to maximum for a permanent rent contract

Neighborhood are English and Finnish families which are very kind and friendly

Bus stops next to our house about 200 meters to Tikkurila or directly to Helsinki center 25 min  and 2 nears train stations are Leinelä and Hiekkaharju. Pharmacy and supermarket and pubs are 7 min walk.",Neighborhood are English and Finnish families which are very kind and friendly,,,You can stay as minimum 1 day to maximum for a permanent rent contract,,Bus stops next to our house about 200 meters to Tikkurila or directly to Helsinki center 25 min  and 2 nears train stations are Leinelä and Hiekkaharju. Pharmacy and supermarket and pubs are 7 min walk.,,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28507162,3920.0,monthly,20562.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",4,95,10,10,10,10,10,10,5.0,95,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28488329,3920.0,monthly,20562.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Keypad,Private entrance,Long term stays allowed,Smoke alarm",5,88,8,10,9,8,8,9,4.5,88,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
Scandinavian apartment with easy access to centre,https://www.airbnb.com/rooms/26264322,4156.0,monthly,21801.0,Entire apartment,"Helsingfors, Finland",1,,60.19625,24.88228,0.0,0.0,entire_home,2,,"Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,TV,Hangers,Essentials,Hot water,Fire extinguisher,Smoke alarm",4,95,10,10,10,10,10,10,5.0,95,"Quite old people are living in our house. Please do not disturb their living.

Tram takes you to city centre every six minutes just 60 metres from front door.

Leave the apartment as it was welcoming you <3",Quite old people are living in our house. Please do not disturb their living.,Leave the apartment as it was welcoming you <3,"Please leave the apartment as it was when arriving, thanks 😊",,,Tram takes you to city centre every six minutes just 60 metres from front door.,,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28488879,3920.0,monthly,20562.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",12,92,9,10,10,10,9,10,4.5,92,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is oka",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is oka,,,,,
"55 metre square, private apartment",https://www.airbnb.com/rooms/3859661,9665.0,monthly,48797.0,Entire apartment,"Helsinki, Finland",1,,60.23375,25.0178,0.0,0.0,entire_home,2,"55 metre square, private apartment. A bedroom and a living room, with kitchen and balcony. There is free fast internet and TV connection.","Wifi,Kitchen,Cable TV,Heating,Essentials,Smoke alarm",1,100,10,10,10,10,10,10,,100,"55 metre square, private apartment. A bedroom and a living room, with kitchen and balcony. There is free fast internet and TV connection.

It is very accessible from the bus stop. It has almost 7 bus connections to the core centre of Helsinki.

Keys

It depends on how much interaction guests want. But I will be available via phone, email and possibly if needed physically.

It is serene, not far from the Viikki park. But just after it, you get to the busy way through the Arabia, Sörnäinen and the Hämeentie way.
If you like the coolly serenity nature gives coupled with urban whistling, you will like this.

There are over 7 bus connections running in good time to the centre of Helsinki. Very straightforward and in about 15 minutes or less.","It is serene, not far from the Viikki park. But just after it, you get to the busy way through the Arabia, Sörnäinen and the Hämeentie way.
If you like the coolly serenity nature gives coupled with urban whistling, you will like this.",,,"It depends on how much interaction guests want. But I will be available via phone, email and possibly if needed physically.",Keys,There are over 7 bus connections running in good time to the centre of Helsinki. Very straightforward and in about 15 minutes or less.,,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28528425,3920.0,monthly,20562.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",1,100,10,10,10,8,8,8,,100,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
Cozy triple hostel room with shared facilities (ID 8086),https://www.airbnb.com/rooms/22402246,1933.0,monthly,9759.0,Entire home/apt,"Helsinki, Finland",1,,60.21772,24.87343,0.0,0.0,entire_home,3,"The Forenom hostel in Helsinki, Pitäjänmäki hails with great value for money on top of a pristine location to move about the metropolitan area of Helsinki. The hostel combines privacy and the sense of community by offering private rooms with impeccable shared facilities. The shared facilities include bathrooms, kitchens for quality cooking, homey living spaces for getting in touch with others staying at the hostel and laundry facilities for maintaining your travel gear intact. The location of the Pitäjänmäki hostel is perfect for moving around the Helsinki area. Public transportation comes in a form of buses and the train, and getting there and around by a car is almost as ideal as it gets. Access to the hostel works via key code and Helsinki city center is just 20 minutes away. Parking can be bought as an extra service.","Wifi,TV,Heating,Laptop-friendly workspace",0,,,,,,,,,,"The Forenom hostel in Helsinki, Pitäjänmäki hails with great value for money on top of a pristine location to move about the metropolitan area of Helsinki. The hostel combines privacy and the sense of community by offering private rooms with impeccable shared facilities. The shared facilities include bathrooms, kitchens for quality cooking, homey living spaces for getting in touch with others staying at the hostel and laundry facilities for maintaining your travel gear intact. The location of the Pitäjänmäki hostel is perfect for moving around the Helsinki area. Public transportation comes in a form of buses and the train, and getting there and around by a car is almost as ideal as it gets. Access to the hostel works via key code and Helsinki city center is just 20 minutes away. Parking can be bought as an extra service.",,,Pets are not allowed,,,,,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28529369,3920.0,monthly,20562.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",4,80,9,9,8,7,8,8,4.0,80,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28504762,4267.0,monthly,22379.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",3,93,10,10,10,10,10,10,4.5,93,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
Quiet park flat close to city centre and airport,https://www.airbnb.com/rooms/29043917,4971.0,monthly,26073.0,Entire apartment,"Helsinki, Finland",2,,60.18654,24.95886,0.8,0.9,entire_home,3,"Welcome to Helsinki!
You can rent my place when I am out of town. So, please  notice that this is not a hotel and that I live here full time otherwise.

The flat is in the 1930s house in Kallio, so all the history applies: windows and ceilings are large, but the bathroom/shower combo is tiny. In fact, the shower is a typical for such houses fixture just above the toilet. Make sure you are comfortable with it, before booking.

The city centre is in under 10min by bus, an airport bus is in 300m","Kitchen,Hair dryer,Iron,Shampoo,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Paid parking off premises,Paid parking on premises,Lockbox,Luggage dropoff allowed,Carbon monoxide alarm",18,97,10,10,10,10,10,10,5.0,97,"Welcome to Helsinki!
You can rent my place when I am out of town. So, please  notice that this is not a hotel and that I live here full time otherwise.

The flat is in the 1930s house in Kallio, so all the history applies: windows and ceilings are large, but the bathroom/shower combo is tiny. In fact, the shower is a typical for such houses fixture just above the toilet. Make sure you are comfortable with it, before booking.

The city centre is in under 10min by bus, an airport bus is in 300m

I have just moved in, so the things are finding their place. I am trying to build the place up to communicate with 1930s when it was build for simple workers. The park it is in is a unique feature for this area, since otherwise it is one of the liveliest city spots today with all the bars and some restaurants. While in here it is ambient and peaceful

A common laundry room in the basement of the house. A common bike parking, if needed.

Just search for Kallio online. It has a very turbulent history, in fact. For the last few years it has been rapidly gentrifying. The park squere, where my place is, now has two upscale places and two Thai massages side by side.

From the airport bus 615 stops right here. If you choose a taxi from there it is a 15-20min drive.

The city centre is well-connected with this spot. There are trams, subway and busses. Something will get you home at any time of the day or night","Just search for Kallio online. It has a very turbulent history, in fact. For the last few years it has been rapidly gentrifying. The park squere, where my place is, now has two upscale places and two Thai massages side by side.",,"In case you stay for an extended period of time, I may ask you to water my plants",,"A common laundry room in the basement of the house. A common bike parking, if needed.","From the airport bus 615 stops right here. If you choose a taxi from there it is a 15-20min drive.

The city centre is well-connected with this spot. There are trams, subway and busses. Something will get you home at any time of the day or night",,,
"SSA Spot Premium Apartment in Tikkurila, Vantaa",https://www.airbnb.com/rooms/28487483,4267.0,monthly,22379.0,Entire apartment,"Vantaa, Finland",1,,60.299,25.038,0.0,0.0,entire_home,3,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.","Free parking on premises,Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Keypad,Private entrance,Long term stays allowed,Smoke alarm",12,87,9,9,10,10,9,8,4.5,87,"Pretty and well-equipped, in 2017 completed 2-room apartment in very good location. The apartment is furnished for three persons and there is a lot of amenities like coffee maker, cooking tools, microwave oven, hairdryer, iron and TV.

The apartment is located 800 m away from Tikkurila train station and shopping mall. For example the city center of Helsinki and the airport can be reached in ten minutes by train.

Im available via phone and email during your stay and i make sure that everything is okay.",,,Hiljaisuus kello 23 jälkeen.,Im available via phone and email during your stay and i make sure that everything is okay.,,,,,
Private apartment in Kamppi. City center location,https://www.airbnb.com/rooms/32199674,2379.0,monthly,11853.0,Entire apartment,"Helsinki, Finland",2,,60.16706,24.92738,0.9,0.95,entire_home,3,Nice and cozy apartment in heart of Helsinki center. Amazing location right in city center. Kamppi Metro station next to apartment.,"Elevator,Wifi,Kitchen,Cable TV,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Paid parking off premises,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Long term stays allowed,Bed linens,Extra pillows and blankets,Patio or balcony,Smoke alarm",14,97,10,10,9,10,10,10,5.0,97,"Nice and cozy apartment in heart of Helsinki center. Amazing location right in city center. Kamppi Metro station next to apartment.

Koko huoneisto Kampissa. Huoneistossa on keittiö, olohuone sekä makuuhuone ja kylpyhuone. Huoneisto on 40 neliötä.

En ole itse paikalla, mutta vastaan viesteihin ja kysymyksiin.

Helsinki City Centre, all services right next to apartment.

Kamppi metro station less than 1 min walking distance

Cat and dog lives in apartment when it is not rented via airbnb. Not suitable for allergic person.","Helsinki City Centre, all services right next to apartment.",Cat and dog lives in apartment when it is not rented via airbnb. Not suitable for allergic person.,,"En ole itse paikalla, mutta vastaan viesteihin ja kysymyksiin.",,Kamppi metro station less than 1 min walking distance,,,
Cozy & Comfy Apt in Kallio!,https://www.airbnb.com/rooms/4282865,1149.0,monthly,5723.0,Entire apartment,"Helsinki, Finland",2,,60.18503,24.9615,0.75,0.9,entire_home,2,"Welcome to peaceful inner courtyard studio located in the vibrant Kallio neigbourhood, next to Sörnäinen's subway station, 4min to centre. Grocery stores, shops and cafes nearby.

This charming and quiet studio is ideal for a one or two persons!","Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Hangers,Heating,Essentials,Laptop-friendly workspace,Smoke alarm",28,95,10,10,10,10,9,9,5.0,95,"Welcome to peaceful inner courtyard studio located in the vibrant Kallio neigbourhood, next to Sörnäinen's subway station, 4min to centre. Grocery stores, shops and cafes nearby.

This charming and quiet studio is ideal for a one or two persons!

Apartment's atmosphere is created by the wood floor, brick wall, halogen lighting, natural light, as well as the height of the room. The apartment has imaginative storage solutions. Comfortable home with basic services and excellent public transport connections next to it.

King Size bed with blankets and pillows (continental Europe 160cm x 200cm or 63in × 79in) 
Fresh sheets and towels
Kitchen table with design chairs
Armchair and footstool
Clothing Storage
Coat rack
Stove and oven 
Coffeemaker
Microwave
Iron and ironing board
Toaster
Electric water kettle
Shower
All kitchen items: pots, frying pan, etc.
Cleaning Equipment
Laundry room
Television 
Free Wifi

As a guest you have access to building's laundry room, where you will find new washers and dryer.

I will welcome you and hand-over the key.

If you have any questions, I will be always available via telephone or email, and I get back to you soon.

Cafes and neat shops are just nearby.

Excellent public transportation connections by metro, buses or trams. Distance to Central Railway Station by metro 4 minutes.

From Helsinki-Vantaa Airport to the apartment:
I recommend to take the local bus 615 from the Airport (runs every 15-30min). The bus leaves from platform 2 at Terminal 1 and platform 21 at Terminal 2. Tickets can be bought from the bus driver (~5,00 € / adult). The bus stop is just 200m from the apartment, the departure stop is called Sörnäinen(M) (2408). Travel time is 30 min.

From Helsinki Central Railway station:
I recommend to take the metro to Sörnäinen. Ticket price ~2,50€, can be purchased from ticket automat in the front of Metro entry near escalators.

When booking please inform your arrival and departure times, so things can be organize accordingly!",Cafes and neat shops are just nearby.,"When booking please inform your arrival and departure times, so things can be organize accordingly!","You will have an apartment key, so you can come and go freely!!

Please keep this place in clean and excellent condition - treat it like your own!

Please wash dishes before leaving. No pets or smoking are allowed inside. Please leave shoes in the entrance.

Please be quiet after 9pm to offer a peaceful evening for the other nice residents in the building.

Enjoy!","I will welcome you and hand-over the key.

If you have any questions, I will be always available via telephone or email, and I get back to you soon.","As a guest you have access to building's laundry room, where you will find new washers and dryer.","Excellent public transportation connections by metro, buses or trams. Distance to Central Railway Station by metro 4 minutes.

From Helsinki-Vantaa Airport to the apartment:
I recommend to take the local bus 615 from the Airport (runs every 15-30min). The bus leaves from platform 2 at Terminal 1 and platform 21 at Terminal 2. Tickets can be bought from the bus driver (~5,00 € / adult). The bus stop is just 200m from the apartment, the departure stop is called Sörnäinen(M) (2408). Travel time is 30 min.

From Helsinki Central Railway station:
I recommend to take the metro to Sörnäinen. Ticket price ~2,50€, can be purchased from ticket automat in the front of Metro entry near escalators.",,,
Awesome place almost in the center,https://www.airbnb.com/rooms/25137407,1657.0,monthly,8257.0,Entire apartment,"Helsinki, Kallio, Finland",7,,60.18772,24.9526,0.8,1.0,entire_home,3,http://abnb.me/EVmg/U80SgS9UeF,"Elevator,Wifi,Kitchen,Cable TV,Hair dryer,Iron,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Paid parking on premises,Host greets you,Private entrance,Fire extinguisher,Smoke alarm",5,96,10,10,9,10,10,10,5.0,96,"http://abnb.me/EVmg/U80SgS9UeF

So it’s all the apartment for you , so a room with a king sized bed and living room that have a coach plus a bathroom and as well a shower room and kitchen

The room - shower -kitchen

The best area in Helsinki for the young people it’s called kallio and it’s famous with its art and easy access to everywhere anytime

Yes everything is close , metro / tram / bus/ clubs / bars / gym

I’m not a hotel I’m just renting before traveling or sometimes when I need money , don’t except to find everything such as shampoo a soap for hands and stuff like this cuz sometimes it’s finished ( buy it ) , if u are excepting that u gonna stay in the best place and everything with a remote control sorry not here Hotels are close enough 😈😈😈 . Buy the stuff that u don’t find here I can even transfer the money  . ( Good vibes people only please )  I’m 1 mint walk from the metro station and under the building there a tram station and bus station as well , cheers 🥂",The best area in Helsinki for the young people it’s called kallio and it’s famous with its art and easy access to everywhere anytime,"I’m not a hotel I’m just renting before traveling or sometimes when I need money , don’t except to find everything such as shampoo a soap for hands and stuff like this cuz sometimes it’s finished ( buy it ) , if u are excepting that u gonna stay in the best place and everything with a remote control sorry not here Hotels are close enough 😈😈😈 . Buy the stuff that u don’t find here I can even transfer the money  . ( Good vibes people only please )  I’m 1 mint walk from the metro station and under the building there a tram station and bus station as well , cheers 🥂",Be clean and treat it like it’s your home !,,The room - shower -kitchen,"Yes everything is close , metro / tram / bus/ clubs / bars / gym",,,
